代码	名称	涨幅%%	现价	流通市值	流通股本(万)	市盈(动)	细分行业	当日___超大单	5分钟___涨幅%%	换手%%	今开	最高	最低	昨收	活跃度	总金额	量比	涨跌	
000036	华联控股	0.44	9.19	        103.69亿	     112826.02	    12.14	全国地产	  462.7万	0.10	          0.93	9.13	9.23	9.11	9.15	   2391	96164688	  0.45	0.04	
000031	中粮地产	1.71	9.49	        172.12亿	     181372.30	    53.47	全国地产	   1299万	0.00	          1.25	9.33	9.58	9.21	9.33	   2629	212827904	  1.73	0.16	
000014	沙河股份	-0.58	22.25	         44.88亿	      20170.51	--  	全国地产	 -181.7万	0.22	          2.42	22.42	22.43	21.61	22.38	   1729	107513984	  0.54	-0.13	
000002	万 科Ａ	0.11	26.84	       2605.66亿	     970810.75	    27.68	全国地产	   1.98亿	0.00	          0.94	26.92	27.25	26.62	26.81	   4695	2462592768	  0.74	0.03	
603828	柯利达	-1.05	23.64	         14.21亿	       6012.00	    85.91	装修装饰	 -486.1万	0.00	          3.33	23.83	23.88	23.40	23.89	   1018	47255396	  0.65	-0.25	
603030	全筑股份	-1.05	30.25	         19.47亿	       6435.52	   125.23	装修装饰	 -405.5万	0.00	          1.63	30.41	30.66	30.24	30.57	    681	31896496	  0.95	-0.32	
601886	江河集团	-1.44	10.93	        102.88亿	      94128.52	    27.86	装修装饰	 -815.0万	-0.09	          0.81	11.07	11.11	10.89	11.09	   1092	84061208	  1.46	-0.16	
600193	创兴资源	-0.80	11.16	         47.47亿	      42537.30	  2570.76	装修装饰	 -129.6万	-0.08	          1.20	11.21	11.26	11.00	11.25	   1307	56878856	  0.64	-0.09	
300117	嘉寓股份	1.32	6.91	         49.45亿	      71566.00	    84.24	装修装饰	   2089万	0.00	          2.59	6.82	6.95	6.75	6.82	   2195	127572256	  1.64	0.09	
002811	亚泰国际	0.23	38.98	         17.54亿	       4500.00	    81.47	装修装饰	   90.6万	0.02	          8.47	38.87	39.35	38.50	38.89	   2708	148291600	  0.52	0.09	
002789	建艺集团	0.35	81.21	         16.49亿	       2030.00	    83.28	装修装饰	  377.4万	-0.18	         12.31	80.49	82.50	80.08	80.93	   2714	203635840	  1.03	0.28	
002781	奇信股份	-0.65	37.98	         17.09亿	       4500.00	    70.76	装修装饰	   22.8万	-0.10	          2.85	38.35	38.35	37.62	38.23	   1350	48546296	  0.86	-0.25	
002713	东易日盛	1.41	25.95	         16.20亿	       6242.02	--  	装修装饰	  392.8万	-0.15	          1.69	25.78	26.03	25.49	25.59	    939	27174894	  0.67	0.36	
002620	瑞和股份	2.37	49.18	         46.11亿	       9375.19	    66.19	装修装饰	  231.9万	0.06	          1.86	48.18	49.18	47.70	48.04	   1331	84848880	  1.05	1.14	
002504	弘高创意	-1.09	9.05	         35.16亿	      38845.85	    38.54	装修装饰	 -925.8万	0.00	          2.15	9.11	9.14	9.00	9.15	   2025	75352600	  1.09	-0.10	
002482	广田集团	1.67	9.76	        127.82亿	     130959.00	    46.36	装修装饰	  494.8万	0.20	          1.42	9.61	10.09	9.50	9.60	   2520	183848816	  1.58	0.16	
002375	亚厦股份	-0.08	11.90	        134.65亿	     113150.88	    50.07	装修装饰	  -2785万	0.00	          1.39	11.87	11.98	11.81	11.91	   2392	186581648	  0.92	-0.01	
002325	洪涛股份	-0.64	9.33	         86.01亿	      92186.60	    44.79	装修装饰	  -54.4万	0.10	          1.20	9.42	9.42	9.21	9.39	   1881	103054440	  0.96	-0.06	
002247	帝龙文化	-0.99	16.02	         72.68亿	      45369.41	    62.96	装修装饰	  -1278万	0.25	          1.02	16.16	16.19	15.87	16.18	    974	73730216	  0.69	-0.16	
002163	中航三鑫	0.00	8.26	         61.31亿	      74223.35	--  	装修装饰	 -738.3万	0.36	          2.18	8.23	8.26	8.10	8.26	   1918	132579472	  1.10	0.00	
002081	金 螳 螂	0.17	11.50	        289.62亿	     251846.20	    17.11	装修装饰	  -6757万	0.08	          1.47	11.48	11.55	11.30	11.48	   3398	423468544	  0.85	0.02	
002047	宝鹰股份	-2.02	11.66	         79.57亿	      68241.78	    40.68	装修装饰	  -1687万	-0.08	          2.33	11.89	11.94	11.60	11.90	   2969	186653776	  0.76	-0.24	
000018	神州长城	-1.19	9.98	         75.19亿	      75340.59	    41.89	装修装饰	  -4181万	0.00	          2.50	10.05	10.17	9.90	10.10	   2980	187674752	  1.31	-0.12	
603979	金诚信	-0.11	18.75	         33.18亿	      17696.64	    39.25	建筑施工	   0.00	0.21	          0.91	18.73	18.78	18.60	18.77	    906	29927350	  0.49	-0.02	
